"last_name, first_name","player_id","year","home_run","k_percent","slg_percent","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_miss_percent","oz_swing_miss_percent","oz_contact_percent","iz_contact_percent","whiff_percent","swing_percent"
"DeLuca, Jonny","676356","2024","6",21.3,".331",".230",".318",".269",".272",".289",".088",70.8,11,8,6.2,26.1,20.3,"7.6","11","84.6","16.2",32.7,3.9,28,"96.24111608","92.14905868",17,36.1,62.8,82.3,24,53.8
"Clement, Ernie","676391","2024","12",9.1,".408",".252",".373",".297",".282",".275",".121",66.8,1,6.9,6.1,41.7,36.9,"6.8","13","85.5","16.3",34.3,3.8,24.9,"95.659056327","91.830379974",9.4,22.9,76.8,90,14.4,57
"Burleson, Alec","676475","2024","21",12.8,".420",".273",".435",".319",".329",".320",".162",71.2,18,13.3,11.1,37.1,31,"7.5","11","89.7","13.6",34.3,6.5,41.7,"99.381927173","94.012155751",13.3,32,68,86.5,19.2,55.7
"Caballero, José","676609","2024","9",27.5,".347",".217",".315",".277",".267",".276",".098",69.7,15.6,8.9,6.5,28.2,20.6,"7","18","83.7","15.9",33.8,5.1,25.2,"96.196185563","92.133024917",17.9,47.9,50.4,81.3,28.9,50
"Meyers, Jake","676694","2024","13",22.8,".360",".235",".382",".285",".304",".303",".147",68.6,7.8,10.6,8,31.6,23.8,"7","31","88.2","14.4",34.8,6.8,37,"99.317270058","93.726741906",15.9,49.8,49.8,83.2,27,49.1
"Schneider, Davis","676914","2024","13",31.7,".343",".198",".358",".277",".292",".292",".160",69.8,6.1,10.4,7.6,30.1,22,"6.9","25","88.6","21.4",38,12,38,"98.986742636","93.569243488",22.5,51.5,48.5,77.5,30.6,42.5
"Rocchio, Brayan","677587","2024","8",20.4,".316",".210",".302",".276",".275",".302",".092",69.5,3.2,7.9,6.1,30.8,23.8,"7.3","10","84.6","9.4",36,4,22.3,"95.744136806","91.872068403",16.6,39.6,57.7,80.6,24.3,47.9
"Rodríguez, Julio","677594","2024","20",25.4,".409",".275",".463",".321",".344",".327",".187",76.3,63.4,20.6,14.5,29.6,20.8,"7.9","30","91.7","10.5",33.2,10.2,48.4,"103.553687536","96.325344116",21.3,46.8,53.2,78.7,30.9,54.3
"Abreu, Wilyer","677800","2024","15",28,".459",".229",".418",".336",".317",".304",".190",74.6,44.6,16,11.8,30.7,22.6,"7.4","17","91.6","19.2",33.7,11.1,50.5,"101.945020507","95.552365543",23.1,45,55,76.4,29.6,48.1
"Witt Jr., Bobby","677951","2024","32",15,".588",".315",".577",".410",".407",".378",".262",74.7,48.2,20.3,15.9,34.8,27.4,"7.1","16","92.7","15.1",35.7,14.3,48.3,"103.972880446","96.499868141",15.2,36.7,63.3,84.8,22.3,51.2
"Tovar, Ezequiel","678662","2024","26",28.8,".469",".233",".401",".324",".289",".264",".168",71.3,18.9,11.8,8,30.6,20.9,"7.5","17","88.8","18.9",38.5,9,39.8,"99.306485852","93.964016332",21.9,53.5,45.6,77.7,33.5,62.3
"Rafaela, Ceddanne","678882","2024","15",26.4,".390",".229",".368",".286",".273",".259",".139",70.1,6.8,11.5,7.9,30.5,20.9,"7.5","24","86.6","14.9",34.9,7.5,36.9,"98.205036294","93.166643181",24.3,46.7,52.7,75,33,61.9
"Rojas, Johan","679032","2024","3",19,".322",".225",".292",".265",".250",".262",".067",71.3,20.9,12.5,9.7,32.2,24.9,"7.3","12","85.7","4.8",22,2.5,27.4,"97.163679462","92.590351731",15.7,35,62,81.4,22.7,48.8
"Torkelson, Spencer","679529","2024","10",27.6,".374",".209",".351",".295",".283",".286",".142",73.6,28.9,12,9,26,19.5,"7.5","11","89","20.2",31.5,6.7,39.7,"99.687498067","94.009349451",17.7,54.3,45.7,82.3,26.6,46
"Schuemann, Max","680474","2024","7",25.9,".308",".222",".338",".281",".296",".315",".116",68.3,2.1,8.8,6.5,38.7,28.4,"6.7","15","89","16.6",39.5,5.6,37.4,"97.729409209","93.097394065",21.3,50.5,49,77,28.5,42.5
"Palacios, Richie","680700","2024","5",21.2,".318",".249",".342",".303",".325",".369",".093",68.9,4.2,8.5,6.6,29.6,22.9,"7","9","86.2","14",36.4,3.5,30.3,"96.843483131","92.444278274",18.2,43.8,55.6,81.8,24.7,46.7
"Kwan, Steven","680757","2024","14",9.4,".425",".284",".385",".349",".333",".361",".101",64.4,0.4,5.9,5.5,41.9,38.8,"6.4","8","86.3","14.9",38.5,2.6,23.7,"95.04543782","91.531639359",4.3,20.4,79.6,95.3,8.2,39.1
